Subject,Expt,,,,,,,,,,,,,,
15,2,7,6,7,6,6,6,2,2,3,3,3,2,3,3
15,2,6,4,7,6,2,5,6,6,4,4,4,4,4,4
17,2,7,7,4,5,6,4,2,3,6,4,2,3,1,4
18,2,7,7,5,6,5,4,5,3,3,4,4,3,3,3
18,2,7,7,7,7,6,4,3,3,4,4,5,4,5,4
21,2,7,7,2,2,4,3,1,1,2,4,2,2,2,2
21,2,5,7,4,4,2,2,1,1,4,4,4,4,1,4
23,2,3,4,7,5,4,5,2,5,2,4,2,2,3,4
23,2,6,7,6,6,5,3,5,5,2,2,3,2,3,5
25,2,5,4,2,4,3,3,1,4,7,5,6,1,6,5
25,2,4,1,4,4,5,4,4,4,5,5,5,5,4,6
27,2,4,6,1,3,2,5,4,3,1,3,1,2,2,3
27,2,4,5,6,6,6,2,2,3,6,3,5,2,4,2
30,2,3,6,1,4,2,3,5,6,4,3,5,3,2,4
30,2,2,5,6,6,3,6,6,4,3,3,4,2,4,3
31,2,4,5,6,4,4,5,2,1,6,4,5,6,1,4
31,2,5,5,4,5,5,5,5,1,4,5,3,5,4,4
33,2,4,4,7,4,1,3,1,1,1,2,2,1,2,2
33,2,4,5,2,3,5,3,1,1,6,3,3,5,2,3
35,2,3,7,7,6,4,5,1,1,2,1,2,3,2,2
35,2,7,7,6,7,5,4,5,1,2,1,1,3,1,3
38,2,4,5,6,4,7,7,7,2,5,3,3,4,2,2
38,2,7,7,7,7,4,4,7,7,2,3,1,3,2,1
40,2,6,7,7,7,6,5,7,6,4,5,4,3,2,3
40,2,5,7,7,7,5,5,7,6,2,3,2,2,4,1
41,2,4,4,7,2,5,5,5,2,3,4,4,5,2,3
41,2,2,5,4,4,3,3,1,4,2,6,6,2,3,2
42,2,4,2,4,2,3,3,6,4,3,2,3,2,2,2
42,2,5,6,5,4,2,3,6,2,2,2,2,2,3,2
45,2,6,7,5,3,6,6,3,2,4,5,4,4,5,3
45,2,2,4,3,5,3,3,2,2,3,4,7,5,4,5
46,2,7,7,3,6,2,3,7,6,3,2,4,1,2,2
46,2,2,4,4,3,5,1,7,4,3,4,6,6,1,2
48,2,5,7,2,3,6,4,5,4,5,4,6,4,1,2
48,2,1,3,2,1,5,3,5,4,5,3,5,5,2,3
59,2,5,6,7,5,1,2,1,1,1,1,2,1,1,1
59,2,6,7,3,3,1,2,3,1,1,1,1,1,1,1
66,2,7,7,7,7,3,3,1,1,6,3,4,3,3,4
66,2,7,7,7,7,4,2,1,1,6,6,6,6,6,4
67,2,4,4,4,4,4,1,7,4,4,4,7,4,1,1
67,2,7,4,4,7,6,4,7,7,4,4,2,5,1,1
68,2,4,6,7,3,2,2,1,1,1,1,1,1,1,1
68,2,5,5,5,4,3,3,7,5,1,1,1,1,1,1
71,2,5,6,6,4,4,4,7,4,3,2,2,3,3,3
71,2,5,6,5,4,5,3,6,5,4,4,3,3,2,4
75,2,1,4,7,3,4,5,5,1,2,4,3,3,2,2
75,2,3,3,3,3,3,1,5,4,2,2,2,3,1,2
78,2,5,6,2,2,2,3,1,1,2,1,2,2,2,2
79,2,2,5,7,1,2,2,1,1,1,1,1,1,1,1
79,2,4,7,3,4,2,2,1,1,1,1,2,1,2,2
81,2,7,4,7,7,3,5,2,7,6,2,1,4,7,4
81,2,2,2,7,7,4,3,5,6,6,5,3,7,6,7
82,2,7,7,3,6,2,3,2,1,1,1,1,1,5,4
82,2,6,3,6,6,6,1,3,1,2,2,2,2,2,4
84,2,1,1,7,4,1,5,4,4,1,4,4,4,4,4
84,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
86,2,5,6,7,5,2,4,1,1,1,1,2,1,2,3
86,2,6,7,4,5,2,3,1,1,1,2,2,2,1,1
